"Source:,""C:\Users\Michal\Documents\GitHub\WeatherStation\Hardware\KiCad-Files\Main_board\Main_board.kicad_sch""";;;;;;;;;;;;;;;;;;;
"Date:,""20.03.2022 18:25:14""";;;;;;;;;;;;;;;;;;;
"Tool:,""Eeschema (6.0.0)""";;;;;;;;;;;;;;;;;;;
"Generator:,""C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py""";;;;;;;;;;;;;;;;;;;
"Component Count:,""46""";;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Individual Components:;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Oznaèení;Hodnota;Název;Typ;Výrobce;Velikost
"Item,""Qty"",""Reference(s)"",""Value"",""LibPart"",""Footprint"",""Datasheet""";;;;;;;;;;;;;;B1;380V~/1,5A;Usmìròovaè;;;9mm
","""",""B1"",""RB1A"",""Main_board-eagle-import:RB1A"",""Diode_THT:Diode_Bridge_Round_D9.0mm"",""""";;;;;;;;;;;;;;C1-C3;1mF;Elektrolitycký ;;;
","""",""C1"",""1m"",""Main_board-eagle-import:CPOL-EUE2,5-6E"",""Capacitor_THT:CP_Radial_D12.5mm_P7.50mm"",""""";;;;;;;;;;;;;;C4-C5;100nF;Keramický kondenzátor;;;
","""",""C2"",""1m"",""Main_board-eagle-import:CPOL-EUE2,5-6E"",""Capacitor_THT:CP_Radial_D12.5mm_P7.50mm"",""""";;;;;;;;;;;;;;D1-D3;1kV/1A;Schottkyho dioda;UF4007GP;Diotec Semiconductor;
","""",""C3"",""1m"",""Main_board-eagle-import:CPOL-EUE2,5-6E"",""Capacitor_THT:CP_Radial_D12.5mm_P7.50mm"",""""";;;;;;;;;;;;;;R1-R7;43R;Metalizovaný odpor;TR191;Tesla;
","""",""C4"",""100n"",""Device:C"",""Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P12.50mm_Horizontal"",""~""";;;;;;;;;;;;;;R8;9k1;Metalizovaný odpor;TR191;Tesla;
","""",""C5"",""100n"",""Device:C"",""Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P12.50mm_Horizontal"",""~""";;;;;;;;;;;;;;R9;12k;Metalizovaný odpor;TR191;Tesla;
","""",""D1"",""1N581"",""Main_board-eagle-import:1N581"",""Diode_THT:D_A-405_P7.62mm_Horizontal"",""""";;;;;;;;;;;;;;R10;130R;Metalizovaný odpor;TR191;Tesla;
","""",""D2"",""1N581"",""Main_board-eagle-import:1N581"",""Diode_THT:D_A-405_P7.62mm_Horizontal"",""""";;;;;;;;;;;;;;R11;90k9;Metalizovaný odpor;TR191;Tesla;
","""",""D3"",""1N581"",""Main_board-eagle-import:1N581"",""Diode_THT:D_A-405_P7.62mm_Horizontal"",""""";;;;;;;;;;;;;;R12;464R;Metalizovaný odpor;TR191;Tesla;
